ID,name,age,sex,breed,color,coat,size,neutered,likes_children
602,Puszi,14.42,female,Unknown Mix,black and white,short,large,no,yes
960,Bari,8.0,female,Kuvasz Mix,white,medium,large,NaN,NaN
404,Watson,7.42,male,Unknown Mix,black and brown,short,medium,NaN,yes
6443,Maya,7.25,female,Adoptable From:,apricot,short,medium,no,NaN
789,Johnny,13.0,male,Unknown Mix,sable,short,medium,yes,yes
21,Panni,11.5,female,Bull Terrier Mix,white,short,medium,no,yes
395,Mekkon,6.75,male,German Shepherd Dog Mix,brown,short,medium,NaN,yes
6419,"""Bjorn""",6.75,male,Labrador Retriever Mix,black,short,medium,no,yes
15,Barnabas,8.5,male,Unknown Mix,brown,short,medium,no,yes
18,Peti,7.0,male,Schnauzer Mix,black,long,large,NaN,yes
1195,Chuby,12.5,female,"Havanese, Puli, Pumi Mix",gray,long,medium,yes,NaN
392,Kiki,6.67,male,Fox Terrier Mix,tricolor,short,medium,NaN,yes
22,Dezso,7.33,male,Unknown Mix,black and brown,long,small,no,NaN
24,Lucky,7.25,male,Unknown Mix,brown,long,small,no,yes
17,Bruno,9.5,male,Unknown Mix,black,short,large,no,NaN
19,Marina,6.83,female,Unknown Mix,black and brown,medium,large,NaN,yes
23,Pongo,8.0,male,Unknown Mix,brown,medium,large,yes,yes
391,Jamie,7.92,male,Unknown Mix,black,short,medium,NaN,NaN
322,Kisvardai Keve,7.17,male,Greyhound Mix,yellow-brown,short,medium,yes,yes
14,Balazs,8.0,male,Unknown Mix,brown,short,large,no,yes
20,Szergely,7.0,male,Unknown Mix,black and brown,medium,medium,NaN,yes
394,Muffin,6.75,female,German Shepherd Dog Mix,black and brown,short,medium,NaN,yes
30,Rudy,9.33,male,Staffordshire Terrier Mix,spotty,short,medium,no,yes
16,Bozont,18.5,male,Unknown Mix,gray and white,medium,large,no,yes
388,Henry,7.0,male,Unknown Mix,black,short,medium,NaN,NaN
379,Fulop,8.5,male,Puli Mix,black,long,medium,NaN,NaN
99,Jimboo,11.67,male,Dogo Argentino,white,short,medium,NaN,yes
6349,Rosso,8.58,male,Unknown Mix,red,medium,medium,NaN,yes
380,Dufi,7.75,male,Unknown Mix,white,short,medium,NaN,NaN
508,Lotar,14.92,male,Fox Terrier Mix,spotty,short,medium,NaN,yes
931,Viktor,17.25,male,Unknown Mix,black and white,short,medium,yes,NaN
786,Panni,7.92,female,Unknown Mix,tricolor,short,small,yes,yes
6369,Beagle Fiu,8.58,male,Beagle,tricolor,short,medium,no,NaN
382,Shoko,7.92,male,Unknown Mix,black,medium,medium,NaN,NaN
